alcaldia,localidad,sexo,rango_edad,poblacion
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,b) 5 a 9 años,44
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,c) 10 a 14 años,51
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,d) 15 a 19 años,49
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,e) 20 a 24 años,47
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,f) 25 a 29 años,54
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,g) 30 a 34 años,64
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,h) 35 a 39 años,42
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,i) 40 a 44 años,42
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,j) 45 a 49 años,31
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,k) 50 a 54 años,35
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,l) 55 a 59 años,29
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,m) 60 a 64 años,24
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,n) 65 a 69 años,12
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,o) 70 a 74 años,7
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,p) 75 a 79 años,2
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,q) 80 a 84 años,0
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Hombre,r) 85 años y más,1
CUAJIMALPA DE MORELOS,Puerto las Cruces (Monte las Cruces),Mujer,a) 0 a 4 años,53
